PickupDatetimeUTC,DropoffDatetimeUTC,PassengerCount,TripDistance,StoreAndFwd,PickupLocationId,DropoffLocationId,FareAmount,TipAmount
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.02,"No ",161,170,8.00,1.18
01/01/0001 00:00:00,01/01/0001 00:00:00,2,0.42,"No ",249,234,4.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,2,0.66,"No ",249,68,8.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.52,"No ",237,137,9.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.66,"No ",237,238,10.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,9.31,"No ",48,61,32.50,7.26
01/01/0001 00:00:00,01/01/0001 00:00:00,1,4.44,"No ",48,41,17.50,4.26
01/01/0001 00:00:00,01/01/0001 00:00:00,2,1.9,"No ",238,142,10.00,2.75
01/01/0001 00:00:00,01/01/0001 00:00:00,2,1.5,"No ",238,143,7.50,1.50
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.83,"No ",234,170,8.00,1.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.51,"No ",234,234,5.00,1.76
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.9,Yes,79,33,12.00,3.15
01/01/0001 00:00:00,01/01/0001 00:00:00,1,3.46,"No ",79,87,14.00,1.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.89,"No ",239,141,9.50,2.66
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.88,"No ",239,151,4.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.71,"No ",148,107,8.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.4,"No ",148,68,11.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.8,"No ",141,236,5.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.39,"No ",141,239,8.50,1.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,5,"No ",249,145,22.00,5.16
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.26,"No ",249,107,8.50,2.46
01/01/0001 00:00:00,01/01/0001 00:00:00,3,1.3,"No ",166,238,7.50,2.80
01/01/0001 00:00:00,01/01/0001 00:00:00,3,2.33,"No ",166,143,10.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1,"No ",141,263,5.00,1.75
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.49,"No ",141,229,7.00,2.16
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.75,"No ",148,79,5.50,2.33
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.42,"No ",148,211,4.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.45,"No ",79,186,17.50,4.26
01/01/0001 00:00:00,01/01/0001 00:00:00,1,3.32,"No ",79,141,12.50,2.93
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.1,"No ",162,233,7.50,2.25
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.7,"No ",162,141,5.00,1.75
01/01/0001 00:00:00,01/01/0001 00:00:00,2,1.8,"No ",234,148,11.00,2.95
01/01/0001 00:00:00,01/01/0001 00:00:00,2,1.6,"No ",234,158,8.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.73,"No ",170,262,11.00,2.22
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.14,"No ",170,234,7.50,2.26
01/01/0001 00:00:00,01/01/0001 00:00:00,1,3.7,"No ",141,151,14.00,3.55
